,demographics_key,dissemination_area,population,median_age,total_dwellings,average_household_size,median_household_income,mother_tongue_official_percentage,mother_tongue_unofficial_percentage,census_year
170,201135010332,35010332,525,41.2,185,2.8,40192.0,100.0,0.0,2011
171,201135010333,35010333,441,43.1,170,2.6,44160.0,100.0,0.0,2011
172,201135010334,35010334,669,51.8,275,2.1,34432.0,100.0,0.0,2011
173,201135010335,35010335,400,47.0,155,2.5,39296.0,100.0,0.0,2011
174,201135010336,35010336,581,47.0,300,1.9,27520.0,100.0,0.0,2011
175,201135010337,35010337,519,43.8,215,2.5,36992.0,100.0,0.0,2011
176,201135010338,35010338,503,43.9,195,2.6,37632.0,100.0,0.0,2011
177,201135010339,35010339,689,39.6,250,2.8,48576.0,100.0,0.0,2011
178,201135010340,35010340,489,39.8,170,2.8,41899.0,98.98,1.02,2011
179,201135010341,35010341,460,44.3,175,2.6,39168.0,100.0,0.0,2011
180,201135010342,35010342,475,47.1,200,2.4,40875.0,100.0,0.0,2011
181,201135010343,35010343,425,46.9,175,2.5,38528.0,100.0,0.0,2011
182,201135010344,35010344,503,41.7,190,2.7,37792.0,100.0,0.0,2011
183,201135010345,35010345,455,39.5,145,2.9,33536.0,98.84,1.16,2011
184,201135010346,35010346,534,38.8,210,2.5,33984.0,100.0,0.0,2011
185,201135010347,35010347,490,42.3,185,2.6,36309.0,100.0,0.0,2011
186,201135010348,35010348,490,42.4,185,2.6,36608.0,100.0,0.0,2011
187,201135010349,35010349,406,56.6,125,2.3,34432.0,100.0,0.0,2011
188,201135010350,35010350,424,44.2,180,2.4,37952.0,100.0,0.0,2011
189,201135010351,35010351,382,46.4,165,2.3,38144.0,100.0,0.0,2011
190,201135010352,35010352,376,43.2,155,2.5,35776.0,100.0,0.0,2011
191,201135010353,35010353,472,43.7,175,2.7,36224.0,100.0,0.0,2011
192,201135010354,35010354,495,46.3,220,2.2,36352.0,100.0,0.0,2011
193,201135010355,35010355,495,44.2,180,2.8,35968.0,100.0,0.0,2011
194,201135010356,35010356,523,40.0,180,2.8,37931.0,100.0,0.0,2011
195,201135010357,35010357,557,44.3,215,2.7,33280.0,100.0,0.0,2011
196,201135010358,35010358,566,44.4,205,2.7,37248.0,100.0,0.0,2011
197,201135010359,35010359,528,52.7,230,2.3,30848.0,100.0,0.0,2011
198,201135010360,35010360,538,44.0,200,2.7,35456.0,100.0,0.0,2011
199,201135010361,35010361,500,50.3,260,1.9,27712.0,100.0,0.0,2011
200,201135010362,35010362,466,48.1,195,2.4,26048.0,100.0,0.0,2011
201,201135010363,35010363,526,50.5,270,1.9,23808.0,99.02,0.98,2011
202,201135010364,35010364,393,42.7,170,2.4,33728.0,100.0,0.0,2011
203,201135010365,35010365,699,53.2,280,2.0,22368.0,99.15,0.85,2011
204,201135010366,35010366,507,50.9,230,2.2,25536.0,100.0,0.0,2011
205,201135010367,35010367,721,47.1,300,2.4,30432.0,100.0,0.0,2011
206,201135010369,35010369,350,46.0,150,2.4,34240.0,100.0,0.0,2011
207,201135010370,35010370,948,40.2,365,2.6,33963.0,99.47,0.53,2011
208,201135010371,35010371,502,41.3,175,2.9,36096.0,100.0,0.0,2011
209,201135010372,35010372,328,40.8,125,2.5,31744.0,100.0,0.0,2011
210,201135010373,35010373,501,52.7,195,2.1,26411.0,100.0,0.0,2011
211,201135010374,35010374,478,37.8,185,2.6,29600.0,98.95,1.05,2011
212,201135010375,35010375,445,49.4,165,2.7,41792.0,98.88,1.12,2011
213,201135010376,35010376,627,51.5,270,2.3,39552.0,100.0,0.0,2011
214,201135010399,35010399,437,46.9,165,2.5,33600.0,100.0,0.0,2011
215,201135010400,35010400,512,51.0,180,2.5,28821.0,100.0,0.0,2011
216,201135010401,35010401,575,44.9,205,2.8,40192.0,99.13,0.87,2011
217,201135010402,35010402,463,42.4,160,2.9,33920.0,100.0,0.0,2011
218,201135010403,35010403,426,51.3,185,2.3,33152.0,100.0,0.0,2011
219,201135010404,35010404,1022,57.6,500,2.0,37632.0,100.0,0.0,2011
220,201135010405,35010405,380,43.6,150,2.5,34987.0,100.0,0.0,2011
221,201135010406,35010406,432,47.6,175,2.5,31083.0,100.0,0.0,2011
222,201135020064,35020064,1005,39.4,360,2.8,42720.0,100.0,0.0,2011
223,201135020065,35020065,582,45.2,210,2.8,40960.0,100.0,0.0,2011
224,201135020066,35020066,717,40.6,305,2.3,42795.0,100.0,0.0,2011
225,201135020067,35020067,455,45.6,205,2.0,31584.0,100.0,0.0,2011
226,201135020068,35020068,447,40.2,220,2.0,29376.0,100.0,0.0,2011
227,201135020069,35020069,505,39.9,235,2.2,29120.0,100.0,0.0,2011
228,201135020070,35020070,578,38.5,215,2.7,39552.0,99.13,0.87,2011
229,201135020071,35020071,453,43.7,195,2.3,33728.0,100.0,0.0,2011
230,201135020072,35020072,528,33.8,190,2.8,46037.0,100.0,0.0,2011
231,201135020073,35020073,1331,35.9,460,2.9,48998.0,100.0,0.0,2011
232,201135020075,35020075,505,42.0,190,2.6,40320.0,100.0,0.0,2011
233,201135020076,35020076,787,56.5,320,2.2,46944.0,100.0,0.0,2011
234,201135020077,35020077,575,54.2,300,1.9,36352.0,100.0,0.0,2011
235,201135020078,35020078,846,43.8,325,2.6,46421.0,100.0,0.0,2011
236,201135020091,35020091,2076,34.3,730,2.8,51686.0,100.0,0.0,2011
237,201135020092,35020092,864,47.7,305,2.6,46336.0,100.0,0.0,2011
